ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Deuteronomy 9:8	Also in Horeb ye provoked the LORD to wrath, and the LORD was angry with you to have destroyed you.
Deuteronomy 9:9	When I was gone up into the mount to receive the tables of stone, even the tables of the covenant which the LORD made with you, then I abode in the mount forty days and forty nights; I did neither eat bread nor drink water.
Deuteronomy 9:10	And the LORD delivered unto me the two tables of stone written with the finger of God; and on them was written according to all the words, which the LORD spake with you in the mount out of the midst of the fire in the day of the assembly.
Deuteronomy 9:11	And it came to pass at the end of forty days and forty nights, that the LORD gave me the two tables of stone, even the tables of the covenant.
Deuteronomy 9:12	And the LORD said unto me, Arise, get thee down quickly from hence; for thy people which thou hast brought forth out of Egypt have corrupted themselves; they are quickly turned aside out of the way which I commanded them; they have made them a molten image.
Deuteronomy 9:13	Furthermore the LORD spake unto me, saying, I have seen this people, and, behold, it is a stiffnecked people:
Deuteronomy 9:14	let me alone, that I may destroy them, and blot out their name from under heaven: and I will make of thee a nation mightier and greater than they.
Deuteronomy 9:15	So I turned and came down from the mount, and the mount burned with fire: and the two tables of the covenant were in my two hands.
Deuteronomy 9:16	And I looked, and, behold, ye had sinned against the LORD your God; ye had made you a molten calf: ye had turned aside quickly out of the way which the LORD had commanded you.
Deuteronomy 9:17	And I took hold of the two tables, and cast them out of my two hands, and brake them before your eyes.
Deuteronomy 9:18	And I fell down before the LORD, as at the first, forty days and forty nights; I did neither eat bread nor drink water; because of all your sin which ye sinned, in doing that which was evil in the sight of the LORD, to provoke him to anger.
Deuteronomy 9:19	For I was afraid of the anger and hot displeasure, wherewith the LORD was wroth against you to destroy you. But the LORD hearkened unto me that time also.
Deuteronomy 9:20	And the LORD was very angry with Aaron to have destroyed him: and I prayed for Aaron also the same time.
Deuteronomy 9:21	And I took your sin, the calf which ye had made, and burnt it with fire, and stamped it, grinding it very small, until it was as fine as dust: and I cast the dust thereof into the brook that descended out of the mount.
Deuteronomy 9:22	And at Taberah, and at Massah, and at Kibroth-hattaavah, ye provoked the LORD to wrath.
Deuteronomy 9:23	And when the LORD sent you from Kadesh-barnea, saying, Go up and possess the land which I have given you; then ye rebelled against the commandment of the LORD your God, and ye believed him not, nor hearkened to his voice.
Deuteronomy 9:24	Ye have been rebellious against the LORD from the day that I knew you.
Deuteronomy 9:25	So I fell down before the LORD the forty days and forty nights that I fell down; because the LORD had said he would destroy you.
Deuteronomy 9:26	And I prayed unto the LORD, and said, O Lord GOD, destroy not thy people and thine inheritance, which thou hast redeemed through thy greatness, which thou hast brought forth out of Egypt with a mighty hand.
Deuteronomy 9:27	Remember thy servants, Abraham, Isaac, and Jacob; look not unto the stubbornness of this people, nor to their wickedness, nor to their sin:
Deuteronomy 9:28	lest the land whence thou broughtest us out say, Because the LORD was not able to bring them into the land which he promised unto them, and because he hated them, he hath brought them out to slay them in the wilderness.
Deuteronomy 9:29	Yet they are thy people and thine inheritance, which thou broughtest out by thy great power and by thy stretched out arm.
Deuteronomy 10:1	At that time the LORD said unto me, Hew thee two tables of stone like unto the first, and come up unto me into the mount, and make thee an ark of wood.
Deuteronomy 10:2	And I will write on the tables the words that were on the first tables which thou brakest, and thou shalt put them in the ark.
Deuteronomy 10:3	So I made an ark of acacia wood, and hewed two tables of stone like unto the first, and went up into the mount, having the two tables in mine hand.
Deuteronomy 10:4	And he wrote on the tables, according to the first writing, the ten commandments, which the LORD spake unto you in the mount out of the midst of the fire in the day of the assembly: and the LORD gave them unto me.
Deuteronomy 10:5	And I turned and came down from the mount, and put the tables in the ark which I had made; and there they be, as the LORD commanded me.
Deuteronomy 10:6	(And the children of Israel journeyed from Beeroth Bene-jaakan to Moserah: there Aaron died, and there he was buried; and Eleazar his son ministered in the priest’s office in his stead.
Deuteronomy 10:7	From thence they journeyed unto Gudgodah; and from Gudgodah to Jotbathah, a land of brooks of water.
Deuteronomy 10:8	At that time the LORD separated the tribe of Levi, to bear the ark of the covenant of the LORD, to stand before the LORD to minister unto him, and to bless in his name, unto this day.
Deuteronomy 10:9	Wherefore Levi hath no portion nor inheritance with his brethren; the LORD is his inheritance, according as the LORD thy God spake unto him.)
Deuteronomy 10:10	And I stayed in the mount, as at the first time, forty days and forty nights: and the LORD hearkened unto me that time also; the LORD would not destroy thee.
Deuteronomy 10:11	And the LORD said unto me, Arise, take thy journey before the people; and they shall go in and possess the land, which I sware unto their fathers to give unto them.
Deuteronomy 10:12	And now, Israel, what doth the LORD thy God require of thee, but to fear the LORD thy God, to walk in all his ways, and to love him, and to serve the LORD thy God with all thy heart and with all thy soul,
Deuteronomy 10:13	to keep the commandments of the LORD, and his statutes, which I command thee this day for thy good?
Deuteronomy 10:14	Behold, unto the LORD thy God belongeth the heaven, and the heaven of heavens, the earth, with all that therein is.
Deuteronomy 10:15	Only the LORD had a delight in thy fathers to love them, and he chose their seed after them, even you above all peoples, as at this day.
Deuteronomy 10:16	Circumcise therefore the foreskin of your heart, and be no more stiffnecked.
Deuteronomy 10:17	For the LORD your God, he is God of gods, and Lord of lords, the great God, the mighty, and the terrible, which regardeth not persons, nor taketh reward.
Deuteronomy 10:18	He doth execute the judgment of the fatherless and widow, and loveth the stranger, in giving him food and raiment.
Deuteronomy 10:19	Love ye therefore the stranger: for ye were strangers in the land of Egypt.
Deuteronomy 10:20	Thou shalt fear the LORD thy God; him shalt thou serve; and to him shalt thou cleave, and by his name shalt thou swear.
Deuteronomy 10:21	He is thy praise, and he is thy God, that hath done for thee these great and terrible things, which thine eyes have seen.
Deuteronomy 10:22	Thy fathers went down into Egypt with threescore and ten persons; and now the LORD thy God hath made thee as the stars of heaven for multitude.
Deuteronomy 11:1	Therefore thou shalt love the LORD thy God, and keep his charge, and his statutes, and his judgments, and his commandments, alway.
Deuteronomy 11:2	And know ye this day: for I speak not with your children which have not known, and which have not seen the chastisement of the LORD your God, his greatness, his mighty hand, and his stretched out arm,
Deuteronomy 11:3	and his signs, and his works, which he did in the midst of Egypt unto Pharaoh the king of Egypt, and unto all his land;
Deuteronomy 11:4	and what he did unto the army of Egypt, unto their horses, and to their chariots; how he made the water of the Red Sea to overflow them as they pursued after you, and how the LORD hath destroyed them unto this day;
Deuteronomy 11:5	and what he did unto you in the wilderness, until ye came unto this place;
Deuteronomy 11:6	and what he did unto Dathan and Abiram, the sons of Eliab, the son of Reuben; how the earth opened her mouth, and swallowed them up, and their households, and their tents, and every living thing that followed them, in the midst of all Israel:
Deuteronomy 11:7	but your eyes have seen all the great work of the LORD which he did.
Deuteronomy 11:8	Therefore shall ye keep all the commandment which I command thee this day, that ye may be strong, and go in and possess the land, whither ye go over to possess it;
Deuteronomy 11:9	and that ye may prolong your days upon the land, which the LORD sware unto your fathers to give unto them and to their seed, a land flowing with milk and honey.
Deuteronomy 11:10	For the land, whither thou goest in to possess it, is not as the land of Egypt, from whence ye came out, where thou sowedst thy seed, and wateredst it with thy foot, as a garden of herbs:
Deuteronomy 11:11	but the land, whither ye go over to possess it, is a land of hills and valleys, and drinketh water of the rain of heaven:
Deuteronomy 11:12	a land which the LORD thy God careth for; the eyes of the LORD thy God are always upon it, from the beginning of the year even unto the end of the year.
Deuteronomy 11:13	And it shall come to pass, if ye shall hearken diligently unto my commandments which I command you this day, to love the LORD your God, and to serve him with all your heart and with all your soul,
Deuteronomy 11:14	that I will give the rain of your land in its season, the former rain and the latter rain, that thou mayest gather in thy corn, and thy wine, and thine oil.
Deuteronomy 11:15	And I will give grass in thy fields for thy cattle, and thou shalt eat and be full.
Deuteronomy 11:16	Take heed to yourselves, lest your heart be deceived, and ye turn aside, and serve other gods, and worship them;
Deuteronomy 11:17	and the anger of the LORD be kindled against you, and he shut up the heaven, that there be no rain, and that the land yield not her fruit; and ye perish quickly from off the good land which the LORD giveth you.
Deuteronomy 11:18	Therefore shall ye lay up these my words in your heart and in your soul; and ye shall bind them for a sign upon your hand, and they shall be for frontlets between your eyes.
Deuteronomy 11:19	And ye shall teach them your children, talking of them, when thou sittest in thine house, and when thou walkest by the way, and when thou liest down, and when thou risest up.
Deuteronomy 11:20	And thou shalt write them upon the door posts of thine house, and upon thy gates:
Deuteronomy 11:21	that your days may be multiplied, and the days of your children, upon the land which the LORD sware unto your fathers to give them, as the days of the heavens above the earth.
Deuteronomy 11:22	For if ye shall diligently keep all this commandment which I command you, to do it; to love the LORD your God, to walk in all his ways, and to cleave unto him;
Deuteronomy 11:23	then will the LORD drive out all these nations from before you, and ye shall possess nations greater and mightier than yourselves.
Deuteronomy 11:24	Every place whereon the sole of your foot shall tread shall be yours: from the wilderness, and Lebanon, from the river, the river Euphrates, even unto the hinder sea shall be your border.
Deuteronomy 11:25	There shall no man be able to stand before you: the LORD your God shall lay the fear of you and the dread of you upon all the land that ye shall tread upon, as he hath spoken unto you.
Deuteronomy 11:26	Behold, I set before you this day a blessing and a curse;
Deuteronomy 11:27	the blessing, if ye shall hearken unto the commandments of the LORD your God, which I command you this day:
Deuteronomy 11:28	and the curse, if ye shall not hearken unto the commandments of the LORD your God, but turn aside out of the way which I command you this day, to go after other gods, which ye have not known.
Deuteronomy 11:29	And it shall come to pass, when the LORD thy God shall bring thee into the land whither thou goest to possess it, that thou shalt set the blessing upon mount Gerizim, and the curse upon mount Ebal.
Deuteronomy 11:30	Are they not beyond Jordan, behind the way of the going down of the sun, in the land of the Canaanites which dwell in the Arabah, over against Gilgal, beside the oaks of Moreh?
Deuteronomy 11:31	For ye are to pass over Jordan to go in to possess the land which the LORD your God giveth you, and ye shall possess it, and dwell therein.
Deuteronomy 11:32	And ye shall observe to do all the statutes and the judgments which I set before you this day.
Deuteronomy 12:1	These are the statutes and the judgments, which ye shall observe to do in the land which the LORD, the God of thy fathers, hath given thee to possess it, all the days that ye live upon the earth.
Deuteronomy 12:2	Ye shall surely destroy all the places, wherein the nations which ye shall possess served their gods, upon the high mountains, and upon the hills, and under every green tree:
Deuteronomy 12:3	and ye shall break down their altars, and dash in pieces their pillars, and burn their Asherim with fire; and ye shall hew down the graven images of their gods; and ye shall destroy their name out of that place.
Deuteronomy 12:4	Ye shall not do so unto the LORD your God.
Deuteronomy 12:5	But unto the place which the LORD your God shall choose out of all your tribes to put his name there, even unto his habitation shall ye seek, and thither thou shalt come:
Deuteronomy 12:6	and thither ye shall bring your burnt offerings, and your sacrifices, and your tithes, and the heave offering of your hand, and your vows, and your freewill offerings, and the firstlings of your herd and of your flock:
Deuteronomy 12:7	and there ye shall eat before the LORD your God, and ye shall rejoice in all that ye put your hand unto, ye and your households, wherein the LORD thy God hath blessed thee.
Deuteronomy 12:8	Ye shall not do after all the things that we do here this day, every man whatsoever is right in his own eyes:
Deuteronomy 12:9	for ye are not as yet come to the rest and to the inheritance, which the LORD thy God giveth thee.
Deuteronomy 12:10	But when ye go over Jordan, and dwell in the land which the LORD your God causeth you to inherit, and he giveth you rest from all your enemies round about, so that ye dwell in safety;
Deuteronomy 12:11	then it shall come to pass that the place which the LORD your God shall choose to cause his name to dwell there, thither shall ye bring all that I command you; your burnt offerings, and your sacrifices, your tithes, and the heave offering of your hand, and all your choice vows which ye vow unto the LORD:
Deuteronomy 12:12	and ye shall rejoice before the LORD your God, ye, and your sons, and your daughters, and your menservants, and your maidservants, and the Levite that is within your gates, forasmuch as he hath no portion nor inheritance with you.
Deuteronomy 12:13	Take heed to thyself that thou offer not thy burnt offerings in every place that thou seest:
Deuteronomy 12:14	but in the place which the LORD shall choose in one of thy tribes, there thou shalt offer thy burnt offerings, and there thou shalt do all that I command thee.
Deuteronomy 12:15	Notwithstanding thou mayest kill and eat flesh within all thy gates, after all the desire of thy soul, according to the blessing of the LORD thy God which he hath given thee: the unclean and the clean may eat thereof, as of the gazelle, and as of the hart.
Deuteronomy 12:16	Only ye shall not eat the blood; thou shalt pour it out upon the earth as water.
Deuteronomy 12:17	Thou mayest not eat within thy gates the tithe of thy corn, or of thy wine, or of thine oil, or the firstlings of thy herd or of thy flock, nor any of thy vows which thou vowest, nor thy freewill offerings, nor the heave offering of thine hand:
Deuteronomy 12:18	but thou shalt eat them before the LORD thy God in the place which the LORD thy God shall choose, thou, and thy son, and thy daughter, and thy manservant, and thy maidservant, and the Levite that is within thy gates: and thou shalt rejoice before the LORD thy God in all that thou puttest thine hand unto.
Deuteronomy 12:19	Take heed to thyself that thou forsake not the Levite as long as thou livest upon thy land.
Deuteronomy 12:20	When the LORD thy God shall enlarge thy border, as he hath promised thee, and thou shalt say, I will eat flesh, because thy soul desireth to eat flesh; thou mayest eat flesh, after all the desire of thy soul.
Deuteronomy 12:21	If the place which the LORD thy God shall choose to put his name there be too far from thee, then thou shalt kill of thy herd and of thy flock, which the LORD hath given thee, as I have commanded thee, and thou shalt eat within thy gates, after all the desire of thy soul.
Deuteronomy 12:22	Even as the gazelle and as the hart is eaten, so thou shalt eat thereof: the unclean and the clean shall eat thereof alike.
Deuteronomy 12:23	Only be sure that thou eat not the blood: for the blood is the life; and thou shalt not eat the life with the flesh.
Deuteronomy 12:24	Thou shalt not eat it; thou shalt pour it out upon the earth as water.
Deuteronomy 12:25	Thou shalt not eat it; that it may go well with thee, and with thy children after thee, when thou shalt do that which is right in the eyes of the LORD.
Deuteronomy 12:26	Only thy holy things which thou hast, and thy vows, thou shalt take, and go unto the place which the LORD shall choose:
Deuteronomy 12:27	and thou shalt offer thy burnt offerings, the flesh and the blood, upon the altar of the LORD thy God: and the blood of thy sacrifices shall be poured out upon the altar of the LORD thy God, and thou shalt eat the flesh.
Deuteronomy 12:28	Observe and hear all these words which I command thee, that it may go well with thee, and with thy children after thee for ever, when thou doest that which is good and right in the eyes of the LORD thy God.
Deuteronomy 12:29	When the LORD thy God shall cut off the nations from before thee, whither thou goest in to possess them, and thou possessest them, and dwellest in their land;
Deuteronomy 12:30	take heed to thyself that thou be not ensnared to follow them, after that they be destroyed from before thee; and that thou inquire not after their gods, saying, How do these nations serve their gods? even so will I do likewise.
Deuteronomy 12:31	Thou shalt not do so unto the LORD thy God: for every abomination to the LORD, which he hateth, have they done unto their gods; for even their sons and their daughters do they burn in the fire to their gods.
Deuteronomy 12:32	What thing soever I command you, that shall ye observe to do: thou shalt not add thereto, nor diminish from it.
Deuteronomy 13:1	If there arise in the midst of thee a prophet, or a dreamer of dreams, and he give thee a sign or a wonder,
Deuteronomy 13:2	and the sign or the wonder come to pass, whereof he spake unto thee, saying, Let us go after other gods, which thou hast not known, and let us serve them;
Deuteronomy 13:3	thou shalt not hearken unto the words of that prophet, or unto that dreamer of dreams: for the LORD your God proveth you, to know whether ye love the LORD your God with all your heart and with all your soul.
Deuteronomy 13:4	Ye shall walk after the LORD your God, and fear him, and keep his commandments, and obey his voice, and ye shall serve him, and cleave unto him.
Deuteronomy 13:5	And that prophet, or that dreamer of dreams, shall be put to death; because he hath spoken rebellion against the LORD your God, which brought you out of the land of Egypt, and redeemed thee out of the house of bondage, to draw thee aside out of the way which the LORD thy God commanded thee to walk in. So shalt thou put away the evil from the midst of thee.
Deuteronomy 13:6	If thy brother, the son of thy mother, or thy son, or thy daughter, or the wife of thy bosom, or thy friend, which is as thine own soul, entice thee secretly, saying, Let us go and serve other gods, which thou hast not known, thou, nor thy fathers;
Deuteronomy 13:7	of the gods of the peoples which are round about you, nigh unto thee, or far off from thee, from the one end of the earth even unto the other end of the earth;
Deuteronomy 13:8	thou shalt not consent unto him, nor hearken unto him; neither shall thine eye pity him, neither shalt thou spare, neither shalt thou conceal him:
Deuteronomy 13:9	but thou shalt surely kill him; thine hand shall be first upon him to put him to death, and afterwards the hand of all the people.
Deuteronomy 13:10	And thou shalt stone him with stones, that he die; because he hath sought to draw thee away from the LORD thy God, which brought thee out of the land of Egypt, out of the house of bondage.
Deuteronomy 13:11	And all Israel shall hear, and fear, and shall do no more any such wickedness as this is in the midst of thee.
Deuteronomy 13:12	If thou shalt hear tell concerning one of thy cities, which the LORD thy God giveth thee to dwell there, saying,
Deuteronomy 13:13	Certain base fellows are gone out from the midst of thee, and have drawn away the inhabitants of their city, saying, Let us go and serve other gods, which ye have not known;
Deuteronomy 13:14	then shalt thou inquire, and make search, and ask diligently; and, behold, if it be truth, and the thing certain, that such abomination is wrought in the midst of thee;
Deuteronomy 13:15	thou shalt surely smite the inhabitants of that city with the edge of the sword, destroying it utterly, and all that is therein and the cattle thereof, with the edge of the sword.
Deuteronomy 13:16	And thou shalt gather all the spoil of it into the midst of the street thereof, and shalt burn with fire the city, and all the spoil thereof every whit, unto the LORD thy God: and it shall be an heap for ever; it shall not be built again.
Deuteronomy 13:17	And there shall cleave nought of the devoted thing to thine hand: that the LORD may turn from the fierceness of his anger, and shew thee mercy, and have compassion upon thee, and multiply thee, as he hath sworn unto thy fathers;
Deuteronomy 13:18	when thou shalt hearken to the voice of the LORD thy God, to keep all his commandments which I command thee this day, to do that which is right in the eyes of the LORD thy God.
Deuteronomy 14:1	Ye are the children of the LORD your God: ye shall not cut yourselves, nor make any baldness between your eyes for the dead.
Deuteronomy 14:2	For thou art an holy people unto the LORD thy God, and the LORD hath chosen thee to be a peculiar people unto himself, above all peoples that are upon the face of the earth.
Deuteronomy 14:3	Thou shalt not eat any abominable thing.
Deuteronomy 14:4	These are the beasts which ye shall eat: the ox, the sheep, and the goat,
Deuteronomy 14:5	the hart, and the gazelle, and the roebuck, and the wild goat, and the pygarg, and the antelope, and the chamois.
Deuteronomy 14:6	And every beast that parteth the hoof, and hath the hoof cloven in two, and cheweth the cud, among the beasts, that ye shall eat.
Deuteronomy 14:7	Nevertheless these ye shall not eat of them that chew the cud, or of them that have the hoof cloven: the camel, and the hare, and the coney, because they chew the cud but part not the hoof, they are unclean unto you:
Deuteronomy 14:8	and the swine, because he parteth the hoof but cheweth not the cud, he is unclean unto you: of their flesh ye shall not eat, and their carcases ye shall not touch.
Deuteronomy 14:9	These ye shall eat of all that are in the waters: whatsoever hath fins and scales shall ye eat:
Deuteronomy 14:10	and whatsoever hath not fins and scales ye shall not eat; it is unclean unto you.
Deuteronomy 14:11	Of all clean birds ye may eat.
Deuteronomy 14:12	But these are they of which ye shall not eat: the eagle, and the gier eagle, and the ospray;
Deuteronomy 14:13	and the glede, and the falcon, and the kite after its kind;
Deuteronomy 14:14	and every raven after its kind;
Deuteronomy 14:15	and the ostrich, and the night hawk, and the seamew, and the hawk after its kind;
Deuteronomy 14:16	the little owl, and the great owl, and the horned owl;
Deuteronomy 14:17	and the pelican, and the vulture, and the cormorant;
Deuteronomy 14:18	and the stork, and the heron after its kind, and the hoopoe, and the bat.
Deuteronomy 14:19	And all winged creeping things are unclean unto you: they shall not be eaten.
Deuteronomy 14:20	Of all clean fowls ye may eat.
Deuteronomy 14:21	Ye shall not eat of any thing that dieth of itself: thou mayest give it unto the stranger that is within thy gates, that he may eat it; or thou mayest sell it unto a foreigner: for thou art an holy people unto the LORD thy God. Thou shalt not seethe a kid in its mother’s milk.
Deuteronomy 14:22	Thou shalt surely tithe all the increase of thy seed, that which cometh forth of the field year by year.
Deuteronomy 14:23	And thou shalt eat before the LORD thy God, in the place which he shall choose to cause his name to dwell there, the tithe of thy corn, of thy wine, and of thine oil, and the firstlings of thy herd and of thy flock; that thou mayest learn to fear the LORD thy God always.
Deuteronomy 14:24	And if the way be too long for thee, so that thou art not able to carry it, because the place is too far from thee, which the LORD thy God shall choose to set his name there, when the LORD thy God shall bless thee:
Deuteronomy 14:25	then shalt thou turn it into money, and bind up the money in thine hand, and shalt go unto the place which the LORD thy God shall choose:
Deuteronomy 14:26	and thou shalt bestow the money for whatsoever thy soul desireth, for oxen, or for sheep, or for wine, or for strong drink, or for whatsoever thy soul asketh of thee: and thou shalt eat there before the LORD thy God, and thou shalt rejoice, thou and thine household:
Deuteronomy 14:27	and the Levite that is within thy gates, thou shalt not forsake him; for he hath no portion nor inheritance with thee.
Deuteronomy 14:28	At the end of every three years thou shalt bring forth all the tithe of thine increase in the same year, and shalt lay it up within thy gates:
Deuteronomy 14:29	and the Levite, because he hath no portion nor inheritance with thee, and the stranger, and the fatherless, and the widow, which are within thy gates, shall come, and shall eat and be satisfied; that the LORD thy God may bless thee in all the work of thine hand which thou doest.
Deuteronomy 15:1	At the end of every seven years thou shalt make a release.
Deuteronomy 15:2	And this is the manner of the release: every creditor shall release that which he hath lent unto his neighbour; he shall not exact it of his neighbour and his brother; because the LORD’S release hath been proclaimed.
Deuteronomy 15:3	Of a foreigner thou mayest exact it: but whatsoever of thine is with thy brother thine hand shall release.
Deuteronomy 15:4	Howbeit there shall be no poor with thee; (for the LORD will surely bless thee in the land which the LORD thy God giveth thee for an inheritance to possess it;)
Deuteronomy 15:5	if only thou diligently hearken unto the voice of the LORD thy God, to observe to do all this commandment which I command thee this day.
Deuteronomy 15:6	For the LORD thy God will bless thee, as he promised thee: and thou shalt lend unto many nations, but thou shalt not borrow; and thou shalt rule over many nations, but they shall not rule over thee.
Deuteronomy 15:7	If there be with thee a poor man, one of thy brethren, within any of thy gates in thy land which the LORD thy God giveth thee, thou shalt not harden thine heart, nor shut thine hand from thy poor brother:
Deuteronomy 15:8	but thou shalt surely open thine hand unto him, and shalt surely lend him sufficient for his need in that which he wanteth.
Deuteronomy 15:9	Beware that there be not a base thought in thine heart, saying, The seventh year, the year of release, is at hand; and thine eye be evil against thy poor brother, and thou give him nought; and he cry unto the LORD against thee, and it be sin unto thee.
Deuteronomy 15:10	Thou shalt surely give him, and thine heart shall not be grieved when thou givest unto him: because that for this thing the LORD thy God shall bless thee in all thy work, and in all that thou puttest thine hand unto.
Deuteronomy 15:11	For the poor shall never cease out of the land: therefore I command thee, saying, Thou shalt surely open thine hand unto thy brother, to thy needy, and to thy poor, in thy land.
Deuteronomy 15:12	If thy brother, an Hebrew man, or an Hebrew woman, be sold unto thee, and serve thee six years; then in the seventh year thou shalt let him go free from thee.
Deuteronomy 15:13	And when thou lettest him go free from thee, thou shalt not let him go empty:
Deuteronomy 15:14	thou shalt furnish him liberally out of thy flock, and out of thy threshing-floor, and out of thy winepress: as the LORD thy God hath blessed thee thou shalt give unto him.
Deuteronomy 15:15	And thou shalt remember that thou wast a bondman in the land of Egypt, and the LORD thy God redeemed thee: therefore I command thee this thing today.
Deuteronomy 15:16	And it shall be, if he say unto thee, I will not go out from thee; because he loveth thee and thine house, because he is well with thee;
Deuteronomy 15:17	then thou shalt take an awl, and thrust it through his ear unto the door, and he shall be thy servant for ever. And also unto thy maidservant thou shalt do likewise.
Deuteronomy 15:18	It shall not seem hard unto thee, when thou lettest him go free from thee; for to the double of the hire of an hireling hath he served thee six years: and the LORD thy God shall bless thee in all that thou doest.
Deuteronomy 15:19	All the firstling males that are born of thy herd and of thy flock thou shalt sanctify unto the LORD thy God: thou shalt do no work with the firstling of thine ox, nor shear the firstling of thy flock.
Deuteronomy 15:20	Thou shalt eat it before the LORD thy God year by year in the place which the LORD shall choose, thou and thy household.
Deuteronomy 15:21	And if it have any blemish, as if it be lame or blind, any ill blemish whatsoever, thou shalt not sacrifice it unto the LORD thy God.
Deuteronomy 15:22	Thou shalt eat it within thy gates: the unclean and the clean shall eat it alike, as the gazelle, and as the hart.
Deuteronomy 15:23	Only thou shalt not eat the blood thereof; thou shalt pour it out upon the ground as water.
Deuteronomy 16:1	Observe the month of Abib, and keep the passover unto the LORD thy God: for in the month of Abib the LORD thy God brought thee forth out of Egypt by night.
Deuteronomy 16:2	And thou shalt sacrifice the passover unto the LORD thy God, of the flock and the herd, in the place which the LORD shall choose to cause his name to dwell there.
Deuteronomy 16:3	Thou shalt eat no leavened bread with it; seven days shalt thou eat unleavened bread therewith, even the bread of affliction; for thou camest forth out of the land of Egypt in haste: that thou mayest remember the day when thou camest forth out of the land of Egypt all the days of thy life.
Deuteronomy 16:4	And there shall be no leaven seen with thee in all thy borders seven days; neither shall any of the flesh, which thou sacrificest the first day at even, remain all night until the morning.
Deuteronomy 16:5	Thou mayest not sacrifice the passover within any of thy gates, which the LORD thy God giveth thee:
Deuteronomy 16:6	but at the place which the LORD thy God shall choose to cause his name to dwell in, there thou shalt sacrifice the passover at even, at the going down of the sun, at the season that thou camest forth out of Egypt.
Deuteronomy 16:7	And thou shalt roast and eat it in the place which the LORD thy God shall choose: and thou shalt turn in the morning, and go unto thy tents.
Deuteronomy 16:8	Six days thou shalt eat unleavened bread: and on the seventh day shall be a solemn assembly to the LORD thy God; thou shalt do no work therein.
Deuteronomy 16:9	Seven weeks shalt thou number unto thee: from the time thou beginnest to put the sickle to the standing corn shalt thou begin to number seven weeks.
Deuteronomy 16:10	And thou shalt keep the feast of weeks unto the LORD thy God with a tribute of a freewill offering of thine hand, which thou shalt give, according as the LORD thy God blesseth thee:
Deuteronomy 16:11	and thou shalt rejoice before the LORD thy God, thou, and thy son, and thy daughter, and thy manservant, and thy maidservant, and the Levite that is within thy gates, and the stranger, and the fatherless, and the widow, that are in the midst of thee, in the place which the LORD thy God shall choose to cause his name to dwell there.
Deuteronomy 16:12	And thou shalt remember that thou wast a bondman in Egypt: and thou shalt observe and do these statutes.
Deuteronomy 16:13	Thou shalt keep the feast of tabernacles seven days, after that thou hast gathered in from thy threshing-floor and from thy winepress:
Deuteronomy 16:14	and thou shalt rejoice in thy feast, thou, and thy son, and thy daughter, and thy manservant, and thy maidservant, and the Levite, and the stranger, and the fatherless, and the widow, that are within thy gates.
Deuteronomy 16:15	Seven days shalt thou keep a feast unto the LORD thy God in the place which the LORD shall choose: because the LORD thy God shall bless thee in all thine increase, and in all the work of thine hands, and thou shalt be altogether joyful.
Deuteronomy 16:16	Three times in a year shall all thy males appear before the LORD thy God in the place which he shall choose; in the feast of unleavened bread, and in the feast of weeks, and in the feast of tabernacles: and they shall not appear before the LORD empty:
Deuteronomy 16:17	every man shall give as he is able, according to the blessing of the LORD thy God which he hath given thee.
Deuteronomy 16:18	Judges and officers shalt thou make thee in all thy gates, which the LORD thy God giveth thee, according to thy tribes: and they shall judge the people with righteous judgment.
Deuteronomy 16:19	Thou shalt not wrest judgment; thou shalt not respect persons: neither shalt thou take a gift; for a gift doth blind the eyes of the wise, and pervert the words of the righteous.
Deuteronomy 16:20	That which is altogether just shalt thou follow, that thou mayest live, and inherit the land which the LORD thy God giveth thee.
Deuteronomy 16:21	Thou shalt not plant thee an Asherah of any kind of tree beside the altar of the LORD thy God, which thou shalt make thee.
Deuteronomy 16:22	Neither shalt thou set thee up a pillar; which the LORD thy God hateth.
Deuteronomy 17:1	Thou shalt not sacrifice unto the LORD thy God an ox, or a sheep, wherein is a blemish, or any evil-favouredness: for that is an abomination unto the LORD thy God.
Deuteronomy 17:2	If there be found in the midst of thee, within any of thy gates which the LORD thy God giveth thee, man or woman, that doeth that which is evil in the sight of the LORD thy God, in transgressing his covenant,
Deuteronomy 17:3	and hath gone and served other gods, and worshipped them, or the sun, or the moon, or any of the host of heaven, which I have not commanded;
Deuteronomy 17:4	and it be told thee, and thou hast heard of it, then shalt thou inquire diligently, and, behold, if it be true, and the thing certain, that such abomination is wrought in Israel;
Deuteronomy 17:5	then shalt thou bring forth that man or that woman, which have done this evil thing, unto thy gates, even the man or the woman; and thou shalt stone them with stones, that they die.
Deuteronomy 17:6	At the mouth of two witnesses, or three witnesses, shall he that is to die be put to death; at the mouth of one witness he shall not be put to death.
Deuteronomy 17:7	The hand of the witnesses shall be first upon him to put him to death, and afterward the hand of all the people. So thou shalt put away the evil from the midst of thee.
Deuteronomy 17:8	If there arise a matter too hard for thee in judgment, between blood and blood, between plea and plea, and between stroke and stroke, being matters of controversy within thy gates: then shalt thou arise, and get thee up unto the place which the LORD thy God shall choose;
Deuteronomy 17:9	and thou shalt come unto the priests the Levites, and unto the judge that shall be in those days: and thou shalt inquire; and they shall shew thee the sentence of judgment:
